用户名,时间,内容,转发,评论,点赞,转发源作者,转发源
新浪排球,8-2 16:02,#东京奥运会# 【土耳其女排3-2力挫俄奥委会夺小组第3 美国荣膺B组头名】8月2日，2020年东京奥运会女排小组赛第5轮较量继续进行。欧洲两强俄罗斯奥委会女排和土耳其女排狭路相逢。两队经过五局激战，土耳其女排把握住关键分3-2拿下，力夺小组赛第3场胜利，五局比分为21-25、25-23、25-23、15-25和15-10。俄奥委会队憾负遭遇小组赛第2场失利后，4胜1负积10分的美国女排锁定B组头名晋级8强。意大利、土耳其和俄奥委会均为3胜2负，10分的意大利排名第2；土俄两队同积9分，土耳其以1个净胜局的微弱优势力压俄奥委会排名第3，俄奥委会队屈居第4。,5,153,463,,
天秀bot,19分钟前,//@整点电影:美丽又自信！//@粉红杨姐姐: 女性的力量！//@不算安静的镜子:女性本就万种风采//@暴躁wanzi:而且每个妹妹都好piu亮啊//@想吃炸鸡烤肉牛排火锅冰淇淋: 她们都在闪闪发光！！！,370,3,302,@当时我就震惊了:,"东京奥运会女子群像

这些闪闪发光的女孩子们用行动告诉我们：女性本就千万种风采！

#奥运段子大赛# #女性本就千万种风采# 当时我就震惊了的微博视频"
我爱女排,14小时前,"#东京奥运会# #中国女排#
东京出发，北京到家，我们都在 我爱女排的微博视频",113,192,1890,,
奥林匹克运动会,8-4 05:30,"东京#奥运会# 8月4日焦点赛事👇

今日起床冠军🏅️马拉松游泳🏊♀️

更多赛程资讯，请前往应用商城搜索并下载【奥林匹克】官方APP。

#东京奥运会# ｜#共同强大#",20,48,312,,
萨村小推,8-3 20:29,佩德里👴🏻#奥运会##东京奥运会#,186,123,1269,,
Houson猴姆,2小时前,恭喜#中国队夺女子乒乓团体赛金牌#！这也是奥运会上#国乒女团四连冠#！看完这场比赛四字点评！！！,27,66,286,@Houson猴姆:,#中国队夺女子乒乓团体赛金牌# #国乒女团VS日本女团#没问题！恭喜中国女乒3:0狂砍日本女乒拿下2020东京奥运会乒乓球女团决赛冠军！！为中国代表团收获本届奥运会第34金！这也是奥运会#国乒女团四连冠#！[金牌]
奥林匹克运动会,11小时前,"【🤙六刷纪录！美国铅球名将科罗塞尔破奥运纪录夺金】

在今天上午进行的东京奥运会男子铅球决赛中，🇺🇸美国名将科罗塞尔状态极佳，六次投掷尝试全部打破了自己在里约奥运会创下的22.52米奥运会纪录，最终他以23.30米的成绩摘得金牌，完成了全新的自我突破！美国选手科瓦奇和新西兰选手沃尔什分获亚军和季军。

男子铅球现世界纪录同样是由科罗塞尔所保持，成绩为23.37米。

#奥运会# ｜#共同强大# ｜#东京奥运会#",10,69,366,,
奥林匹克运动会,8-2 21:20,"眼含泪水
是因为心怀梦想✨

#奥运会# | #共同强大# | #东京奥运会#",78,49,1264,,
奥林匹克运动会,8-4 13:07,"【翩若惊鸿 婉若游龙】

#奥运会# | #共同强大# | #东京奥运会#",17,13,364,,
新浪体育,8-4 16:45,#14岁全红婵出战东京奥运会#全红婵， 2007年出生，她是这次奥运会中国代表团年龄最小的运动员，因为高超的跳水技术被网友熟知。湛江市体育运动学校是全红婵梦开始的地方，2014年进入体校就读，在训练条件简陋的情况下，她从体校到省队，再到奥运会，一路殊为不易，点赞！#围观奥运会# 今日最新闻官方微博的微博视频,34,45,473,,
